Site,Layer,Easting,Northing,Mass,Thickness,Density,Isomass
1,A,526774,1381087,1235,0.33,982.5,324.22
1,B,,,1550,0.15,1233.09,184.96
2,A,526028,1380972,1135,0.23,902.94,207.68
2,B,,,1528,0.04,1215.59,48.62
3,A,525477,1380291,1187,0.33,944.31,311.62
3,B,,,1478,0.14,1175.82,164.61
4,A,524516,1379866,1323,0.1,1052.51,105.25
4,B,,,1514,0.12,1204.46,144.53
5,A,523595,1379462,1466,0.15,1166.27,174.94
5,B,,,1474,0.06,1172.63,70.36
6,A,522674,1379481,1403,0.17,1116.15,189.75
6,B,,,1551,0.03,1233.89,37.02
7,M,521642,1379304,1438,0.15,1143.99,171.6
8,M,520715,1378964,1374,0.11,1093.08,120.24
9,M,519877,1378201,1580,0.05,1256.96,62.85
10,M,520742,1379432,1555,0.13,1237.07,160.82
11,M,520990,1380130,1508,0.13,1199.68,155.96
12,M,520892,1381127,1401,0.15,1114.56,167.18
13,M,521902,1382109,1493,0.06,1187.75,71.26
14,M,522118,1379921,1316,0.15,1046.94,157.04
15,A,523973,1380489,1376,0.08,1094.67,87.57
15,B,,,1179,0.18,937.95,168.83
16,B,525162,1380976,1286,0.25,1023.07,255.77
17,A,525544,1381476,1174,0.13,933.97,121.42
17,B,,,1472,0.11,1171.04,128.81
18,M,525760,1382320,1479,0.13,1176.61,152.96
19,M,524400,1382378,1508,0.23,1199.68,275.93
20,M,523387,1382182,1733,0.14,1378.68,193.02
21,M,522453,1381550,1688,0.11,1342.88,147.72
22,M,521894,1380712,1651,0.13,1313.44,170.75
23,B,529889,1379931,1478,0.21,1175.82,246.92
23,C,,,1645,0,1308.67,0
24,M,529139,1380417,1291,0.81,1027.05,831.91
25,M,528622,1380874,1501,1.2,1194.11,1432.94
26,M,527524,1380945,1306,0.71,1038.98,737.68
27,A,526823,1381601,1172,0.16,932.38,149.18
27,B,,,1533,0.2,1219.57,243.91
28,A,526524,1381709,1281,0.11,1019.09,112.1
28,B,,,1576,0.18,1253.78,225.68
29,A,524433,1381454,1123,0.09,893.4,80.41
29,B,,,1496,0.14,1190.14,166.62
30,M,523722,1381349,1446,0.24,1150.36,276.09
31,A,528142,1381657,1127,0.31,896.58,277.94
31,B,,,1512,0.35,1202.86,421
32,A,529178,1382180,1478,0,1175.82,0
32,B,,,1461,0,1162.29,0
33,A,529811,1382324,1440,0,1145.58,0
33,B,,,1422,0,1131.26,0
34,A,530232,1382772,1472,0.23,1171.04,269.34
34,B,,,1557,0.08,1238.66,99.09
35,M,530418,1383102,1503,0.63,1195.7,753.29
35,F,,,1489,0,1184.57,0
36,A,531371,1382795,1720,0.48,1368.34,656.8
36,B,,,1251,0.24,995.23,238.85
37,A,529666,1383245,1522,0.25,1210.82,302.7
37,B,,,1668,0.08,1326.97,106.16
38,M,528975,1383175,1854,0.26,1474.94,383.48
39,M,522302,1377932,1794,0.1,1427.21,142.72
40,M,528159,1380191,1329,0.87,1057.28,919.83
41,M,527137,1380167,1186,0.72,943.52,679.33
42,A,526109,1380543,1342,0.34,1067.62,362.99
42,B,,,1219,0.2,969.77,193.95
43,A,525983,1379744,1355,0.42,1077.96,452.74
43,B,,,1526,0.08,1214,97.12
44,A,524920,1379122,1594,0,1268.1,0
44,B,,,1332,0,1059.67,0
45,M,523983,1378749,1406,0.22,1118.54,246.08
46,M,523174,1379228,1368,0.23,1088.31,250.31
47,M,522536,1378550,1538,0.3,1223.55,367.06
48,M,521505,1378499,1568,0.22,1247.41,274.43
49,M,521747,1377510,1499,0.21,1192.52,250.43
50,M,522806,1377761,1539,0.12,1224.34,146.92
51,M,523894,1377922,1575,0.19,1252.98,238.07
52,M,524826,1378577,1555,0.23,1237.07,284.53
53,M,525759,1378887,1490,0.19,1185.36,225.22
54,M,526664,1378620,1590,0.26,1264.92,328.88
55,M,527927,1379208,1300,0.42,1034.21,434.37
56,M,528574,1379238,1595,0.17,1268.89,215.71
57,M,530429,1379430,1597,0.27,1270.49,343.03
59,M,531058,1380228,1537,0.08,1222.75,97.82
60,A,530597,1380732,1372,0.13,1091.49,141.89
60,B,,,1452,0.22,1155.13,254.13
60,A,,,1212,0.2,964.2,192.84
61,M,531878,1381004,1420,0.25,1129.67,282.42
62,A,531201,1381246,1377,0.15,1095.47,164.32
62,B,,,1287,0.14,1023.87,143.34
63,M,530293,1381534,1471,1.6,1170.25,1872.39
64,M,529451,1381172,1256,1.5,999.2,1498.81
65,M,530518,1380992,1471,0.53,1170.25,620.23
66,M,521537,1376665,1873,0.06,1490.06,89.4
67,M,522559,1376999,1565,0.01,1245.03,12.45
68,M,523856,1377173,1599,0.03,1272.08,38.16
69,M,524591,1377489,1929,0.07,1534.61,107.42
70,M,525564,1377877,1794,0.23,1427.21,328.26
71,M,526899,1379123,1442,0.28,1147.18,321.21
72,A,524505,1380950,1201,0.18,955.45,171.98
72,B,,,1682,0.08,1338.11,107.05
73,M,522646,1380659,1577,0.23,1254.57,288.55
74,A,526416,1382894,1479,0.1,1176.61,117.66
74,B,,,1695,0.25,1348.45,337.11
75,M,527536,1383362,1812,0.39,1441.53,562.2
76,M,527796,1382127,1439,0.73,1144.79,835.7
77,M,527021,1381806,1417,0.48,1127.29,541.1
77,F,,,1437,0,1143.2,0
78,M,528675,1382740,1550,0.34,1233.09,419.25
79,M,528763,1384430,1629,0.09,1295.94,116.63
80,M,526617,1379772,1494,0.54,1188.54,641.81
